country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","30-11-2025 11:00:00",16.554731,80.649110,OZONE,71,102,92
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","30-11-2025 11:00:00",17.72,83.3,OZONE,6,47,33
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","30-11-2025 11:00:00",26.071318,91.87488,PM2.5,81,124,97
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","30-11-2025 11:00:00",14.675886,77.593027,NH3,4,5,5
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","30-11-2025 11:00:00",14.675886,77.593027,SO2,13,17,14
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","30-11-2025 11:00:00",14.675886,77.593027,CO,28,46,35
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","30-11-2025 11:00:00",13.204880,79.097889,NO2,21,25,23
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","30-11-2025 11:00:00",26.181742,91.78063,PM2.5,39,345,164
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","30-11-2025 11:00:00",26.349082,92.68449,OZONE,8,9,9
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","30-11-2025 11:00:00",26.446912,91.439057,OZONE,17,22,20
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","30-11-2025 11:00:00",14.465052,78.824187,OZONE,21,23,22
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","30-11-2025 11:00:00",16.9872867,81.7363176,NH3,1,3,2
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","30-11-2025 11:00:00",16.5150833,80.5181667,PM10,32,120,63
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","30-11-2025 11:00:00",16.5150833,80.5181667,NH3,1,5,4
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","30-11-2025 11:00:00",16.5150833,80.5181667,CO,16,28,19
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","30-11-2025 11:00:00",13.67,79.35,OZONE,2,348,85
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","30-11-2025 11:00:00",13.615387,79.409230,NO2,NA,NA,NA
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","30-11-2025 11:00:00",13.615387,79.409230,CO,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","30-11-2025 11:00:00",16.536107,80.594233,PM10,47,59,51
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","30-11-2025 11:00:00",14.675886,77.593027,NO2,20,22,20
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","30-11-2025 11:00:00",26.987634,94.636574,NH3,4,12,9
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","30-11-2025 11:00:00",26.187500,91.744194,SO2,26,53,39
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","30-11-2025 11:00:00",25.7808257,84.7446768,CO,NA,NA,NA
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","30-11-2025 11:00:00",25.7808257,84.7446768,OZONE,NA,NA,NA
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","30-11-2025 11:00:00",24.7955,84.9994,SO2,6,15,10
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","30-11-2025 11:00:00",24.762518,84.982348,PM2.5,32,51,38
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","30-11-2025 11:00:00",24.762518,84.982348,CO,21,42,31
